,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
MAE,6.081395238,5.001386492,4.570271984,4.329994529,4.173485589,4.032796465,3.941751979,3.945479379,3.947846952,3.947843351,NA,3.680574488,7.566094393,6.991347585,6.433277374
MAE,6.485975484,5.453904182,5.049311007,4.577360733,4.230061221,4.051615474,3.885530003,3.8240585,3.822608456,3.822634019,NA,3.654641967,8.084580502,6.782124068,7.491394119
MAE,6.044833798,4.769136108,4.443643836,4.177414757,3.867623269,3.678117479,3.605361689,3.607237471,3.606513792,3.606518885,NA,3.50115496,7.924813623,7.273586229,7.537308365
MAE,6.012526538,4.646766134,4.05303423,3.664791439,3.499039204,3.339228271,3.2549655,3.249542231,3.254437036,3.254401449,NA,3.415692363,7.919062692,6.748479624,7.106278676
MAE,5.798530845,5.212991545,4.803563136,4.669151167,4.548348999,4.486848451,4.506840901,4.535666146,4.538126084,4.538120341,NA,4.041410191,8.909126507,8.46544062,7.853409392
MAE,6.826772805,6.006560409,5.522351246,5.183569665,4.823556853,4.53691873,4.45276993,4.410356051,4.410493045,4.41051026,NA,3.96246785,8.359654909,7.702193234,7.401858847
MAE,5.447276217,4.862443249,4.615814685,4.38475479,4.17215759,4.010488196,3.920452006,3.935831118,3.937567666,3.937660719,NA,3.77694747,7.955285712,6.991114804,6.869519503
MAE,6.97218347,5.693046813,5.196559593,4.856752883,4.566519059,4.410161145,4.385416585,4.39026291,4.393628445,4.393740457,NA,4.227343263,9.234060632,6.285544043,7.215759476
MAE,7.079424824,5.968213949,5.503357285,5.221259997,4.939381419,4.69205478,4.589414684,4.610876857,4.613605575,4.613632129,NA,4.737247316,8.729701014,8.080700067,8.571219358
MAE,7.00663591,5.9981038,5.386297912,4.980506069,4.746169813,4.528109825,4.362189103,4.333019623,4.3324217,4.332434835,NA,4.195081062,8.031654572,6.922390134,6.768279771
MAE,6.738003258,5.726414217,5.186178855,4.794375612,4.644980039,4.47693061,4.416602124,4.464093996,4.466110492,4.466143691,NA,4.295938252,8.586342522,8.236740147,8.439900265
MAE,6.08698264,5.154195119,4.73618147,4.495730752,4.375425825,4.258347189,4.191207396,4.183529244,4.184766411,4.18482328,NA,4.093642522,7.225310679,7.919928943,7.110322935
MAE,6.916463032,5.783767354,5.41073642,5.189134214,4.944321646,4.794504817,4.756676748,4.773552764,4.774242113,4.774232291,NA,4.161353799,9.051670145,7.585077025,8.686533587
MAE,6.201462586,5.072489966,4.574561017,4.322808166,4.042534543,3.925063613,3.822278805,3.744704631,3.740979985,3.740962073,NA,3.678514971,7.779489271,6.773695119,6.468701789
MAE,7.316356779,6.14749619,5.447675504,5.219179083,5.150300369,5.021979314,4.976127375,4.932829466,4.931011265,4.93097623,NA,4.563012811,8.499639235,6.58950035,7.875759452
MAE,6.281948989,5.371952554,4.878215325,4.484938348,4.397577733,4.256518486,4.180623451,4.17942761,4.18098931,4.180986975,NA,3.720820666,8.3607816,8.054947952,7.453624908
MAE,6.481880267,5.332044953,4.821973672,4.55300591,4.422128755,4.403957483,4.351135424,4.317336639,4.316441348,4.316414159,NA,4.031954806,9.038304819,6.368574813,7.603378449
MAE,6.204949101,5.082106272,4.55064436,4.198344769,3.85283135,3.619109215,3.508021216,3.418892296,3.412698776,3.412689475,NA,3.595607174,7.147713775,7.0053271,6.815180091
MAE,6.46094158,5.094512459,4.559028505,4.090529362,3.884982201,3.761309296,3.692658329,3.640897945,3.636016691,3.635881759,NA,3.467050332,7.761620301,7.676188935,6.201945357
MAE,6.571361356,5.798094543,5.412751536,5.164176819,4.932176233,4.632498726,4.462696961,4.529682221,4.529730213,4.529863536,NA,4.345524032,8.214118408,6.413296613,7.520246189
MAE,5.917641644,5.219094994,5.056188558,4.766113614,4.603467733,4.491851515,4.389989672,4.353016952,4.354130986,4.354098254,NA,4.162469848,8.867976936,8.404590166,7.75576603
MAE,6.323904633,5.027281279,4.513724392,4.212542535,3.916717064,3.767826609,3.759883052,3.764738373,3.770173848,3.770194913,NA,3.697695884,8.292369672,6.537337599,7.125411389
MAE,6.251066451,5.398046434,4.871270877,4.556342359,4.370831233,4.175483331,4.136415539,4.122181816,4.123156237,4.123085671,NA,3.798573382,8.24593545,6.56046973,6.922359519
MAE,6.094939931,4.962182691,4.523017666,4.336178905,4.201085399,4.046334584,3.963553753,3.953590451,3.951331211,3.951290443,NA,3.67368473,7.857608053,6.598359155,7.390890216
MAE,6.076970373,4.636819753,4.237866195,3.935315135,3.73730849,3.593214647,3.471860855,3.436554363,3.440322928,3.440430993,NA,3.149450536,7.811800243,6.506140771,6.071640714
MAE,5.711944261,4.926153722,4.493862971,4.199072287,3.936451949,3.793518868,3.61968461,3.590673706,3.586893387,3.58689328,NA,3.91314738,7.871118635,8.160118091,7.094163632
MAE,6.055855511,4.842875938,4.315357175,3.97562565,3.859845919,3.682851652,3.570406563,3.546963213,3.545262374,3.545253456,NA,3.558617027,6.429117717,7.3008409,6.44482632
MAE,6.175073584,5.073522825,4.711736911,4.503981673,4.360178452,4.211496225,4.122675356,4.052481574,4.051856572,4.051875172,NA,3.787728587,8.864663587,7.403907471,6.708328714
MAE,6.68547447,5.518151451,5.070813707,4.813383854,4.601631875,4.430676751,4.414123045,4.37365686,4.370666546,4.3706157,NA,4.144378571,7.937095044,8.177126299,6.990566395
MAE,5.925257965,5.06062526,4.658382139,4.432654649,4.357654831,4.221143496,4.090143478,4.047882629,4.050574253,4.050665106,NA,4.127015065,9.378468785,6.948454491,7.535909082
MAE,5.927330912,4.765918052,4.337509729,4.175662261,3.933866058,3.750808111,3.692403058,3.681145053,3.678985865,3.678904431,NA,3.582646271,8.409014693,7.075023272,6.988456875
MAE,6.419973551,5.021486323,4.592268509,4.398413482,3.984457919,3.760400438,3.525528157,3.47725136,3.477290371,3.47727393,NA,3.583125371,8.253705375,6.707373734,6.38301192
MAE,6.030624809,5.053083629,4.608707357,4.249860066,4.043712766,3.906205468,3.886271038,3.880943074,3.882854556,3.882747465,NA,3.298934549,7.962278442,7.111979814,7.437647274
MAE,6.909227141,5.461926745,5.009942949,4.790919056,4.549658961,4.364820417,4.28226583,4.257401226,4.263580104,4.263612968,NA,4.190455502,8.814720756,7.038332277,7.232710061
MAE,6.160042271,4.935291617,4.368072792,4.064122611,3.807455829,3.646093358,3.569374152,3.522891036,3.523262524,3.52322714,NA,3.274055452,7.247827244,7.080728687,6.749805421
MAE,6.223810649,5.125962491,4.891421397,4.534026055,4.181937745,4.009826913,3.923102609,3.905841338,3.903960698,3.903954971,NA,3.769642575,8.591709495,6.561414887,6.714649378
MAE,6.621923576,5.687989592,5.302478248,4.962304962,4.753179516,4.505746517,4.382208565,4.315951273,4.310978119,4.311002613,NA,4.041670274,9.284903946,7.55494253,7.890268694
MAE,5.783105584,5.062922737,4.5632946,4.136395039,3.952581156,3.89798068,3.857913698,3.797083353,3.793563391,3.793532846,NA,3.596428994,7.861062121,7.119501104,7.007856593
MAE,6.099019154,5.411595197,5.029265539,4.899171613,4.821072728,4.768426819,4.716770768,4.706128366,4.706050684,4.706077871,NA,4.577776503,7.427441783,7.033636788,6.561917332
MAE,6.131800828,5.029842581,4.625310687,4.419989022,4.211882999,4.125132931,4.129279362,4.114955377,4.117252716,4.117215755,NA,3.880619926,8.094103355,6.839778671,6.41936095
MAE,6.686030376,5.61289474,4.891846519,4.631778242,4.474193677,4.314467339,4.221679376,4.208812701,4.209850571,4.20984227,NA,3.90836687,8.81559533,6.125426445,7.941883936
MAE,6.27971837,5.177116943,4.67972462,4.378423082,4.196619745,3.908497725,3.840145885,3.876587642,3.885916414,3.886017622,NA,3.79652095,8.939127567,7.543365767,7.344682012
MAE,6.169206145,5.113536913,4.59663883,4.112696614,3.78887623,3.604257423,3.49190186,3.484926032,3.485000908,3.485047549,NA,3.343659882,8.011630761,7.354647655,7.242071391
MAE,5.992491626,4.913805475,4.530683844,4.244620218,3.934073294,3.779204595,3.663230802,3.668399531,3.67192158,3.671937212,NA,3.597639356,8.503416188,7.111507498,7.09772459
MAE,6.270407554,5.154356141,4.951942315,4.725303105,4.540489789,4.446625648,4.443969631,4.407362297,4.40861237,4.408690778,NA,3.998416929,8.754524677,6.959041449,7.270474884
MAE,6.70389313,5.534397753,5.005918748,4.697537909,4.473184072,4.377045075,4.239989201,4.169841675,4.171213504,4.171232097,NA,4.254856837,8.887661943,7.251068793,7.505190563
MAE,6.729574686,5.627677561,5.002908561,4.597942109,4.394485049,4.218132077,4.089565309,4.003499733,4.001721805,4.001723911,NA,4.06056333,9.010842671,7.945045025,7.224612911
MAE,7.096177578,5.991852185,5.509645148,5.336491925,5.272427884,5.088805965,4.955827533,4.881349858,4.879229111,4.879207628,NA,4.456615302,8.242728183,8.129440673,7.886110304
MAE,6.385076528,5.738192036,5.352561518,5.046123575,4.923321916,4.834022341,4.727772752,4.681474654,4.679881609,4.679750373,NA,4.51093937,8.434636217,8.312980209,7.31383889
MAE,6.577246684,5.427316244,5.037686718,4.836413611,4.604216879,4.465064315,4.381115236,4.356048188,4.349747528,4.349726104,NA,4.243801569,8.423467448,7.688490749,7.094433627
MAE,5.916517032,4.713885968,4.30676621,4.025479027,3.78853746,3.683437897,3.653028017,3.644554299,3.644237682,3.644330884,NA,3.211615827,8.284091113,6.721809011,6.920786462
MAE,6.784545986,5.942863784,5.426198856,4.993631691,4.811319857,4.60413804,4.592594586,4.519506003,4.514616218,4.514451986,NA,4.117004119,8.703906517,7.283948313,7.571764276
MAE,5.308264179,4.286553679,3.917386886,3.75332985,3.47325204,3.222784876,3.054690978,3.100615752,3.107753508,3.107787614,NA,3.119081676,7.823881104,7.39286787,6.523330899
MAE,6.303027619,5.296487621,4.990078255,4.748438073,4.422571239,4.264091342,4.129075726,4.07251366,4.070363646,4.070281004,NA,4.009259285,8.547931566,6.786175327,7.478204053
