"","Nu_Optimal","Eps_Optimal","Scale_Optimal","C2"
"95%",0.781669776707904,0.606344064482873,2.75349214126592,24.2641013467524
"95%",0.782669341910686,0.602541797706991,2.74688737806181,24.3025781859619
"95%",0.781673984114167,0.606328033642196,2.73211000803606,24.3209679802626
"95%",0.780056893149547,0.612505769959922,2.75088449146582,24.3316797966803
"95%",0.779054542134966,0.616351582281339,2.7002224449668,24.6901443043222
"95%",0.782040772389078,0.604931368150148,2.74247700367559,24.3416609087
"95%",0.778735605839584,0.617577942768252,2.71823296226252,24.623952962548
"95%",0.777061503267859,0.624036351668375,2.69551242720241,24.83150881759
"95%",0.781061829650158,0.608662766611412,2.71315915942394,24.3149663576709
"95%",0.778405256905881,0.618849548073476,2.6921893046682,24.8621597626655
"95%",0.777196437066685,0.623514475086215,2.6804716450276,24.8931634763448
"95%",0.77624362628641,0.627204600758425,2.67328526134455,24.9920999226096
"95%",0.780327109798259,0.611471177121348,2.69402280290352,24.7008956525091
"95%",0.781053629180706,0.608694074809611,2.7573531310767,24.2103358184346
"95%",0.776577505290092,0.625910202455303,2.66770458601943,25.0239271706574
"95%",0.780723193354189,0.609956334014701,2.72796399441774,24.439062229716
"95%",0.778913877500747,0.616892300995169,2.68617808871992,24.7730321453525
"95%",0.778276910246142,0.619343964312942,2.72959924268203,24.6368514778467
"95%",0.780522472395384,0.610723755304688,2.74094298297154,24.4199317606509
"95%",0.772796716173131,0.640651767247772,2.61109537489966,25.5873504336202
"95%",0.779487655522975,0.614688256963723,2.69741050532282,24.6698735727049
"95%",0.77460994840223,0.633558789906173,2.66792375712265,25.2751344831254
"95%",0.777724022824494,0.62147619090904,2.7002975257182,24.904193147425
"95%",0.778932109526855,0.616822202432982,2.71123964979769,24.6221116153861
"95%",0.779672815890209,0.61397789298927,2.71311186760559,24.670431545114
"95%",0.776319747841324,0.626909363185554,2.70090716790827,24.7819108332542
"95%",0.780906117759116,0.60925739627222,2.74230715627674,24.3871673597642
"95%",0.780566158704119,0.610556685199701,2.74383996987493,24.3941488347992
"95%",0.779716741039255,0.613809438668553,2.7343955070457,24.4577287373675
"95%",0.77821190214496,0.61959446806888,2.70446109045566,24.7040020686361
"95%",0.780228230167959,0.611849655978097,2.74552886113602,24.3791429591109
"95%",0.782766035335199,0.602174645707147,2.7720026898092,24.0933323988214
"95%",0.999995000039884,1e-05,3.18754308571644,20.8081584908497
"95%",0.78223124282872,0.604206754208517,2.75614780228454,24.2852145115438
"95%",0.788875789346117,0.579209846127096,2.8464899888282,23.3778360019436
"95%",0.780514451791486,0.610754431213457,2.73537408882296,24.4696478180072
"95%",0.999995000039884,1e-05,3.03412669573939,21.7753061507867
"95%",0.778949399924414,0.616755728142763,2.70726725102045,24.6258960192683
"95%",0.774089199813289,0.635591481449752,2.62721107175797,25.4770700852795
"95%",0.779821739327889,0.613406865757305,2.72483803037066,24.5387436904156
"95%",0.781318854170204,0.607681912529977,2.74626217138897,24.3520463081555
"95%",0.779691055656544,0.613907939953722,2.70335250110811,24.5350547872734
"95%",0.781942656601941,0.605304810868408,2.75973848390666,24.1894098526608
"95%",0.778490086944719,0.618522881257006,2.71238627019916,24.6117029889247
"95%",0.775765567684395,0.629060452995185,2.6791040235015,25.0322312906498
"95%",0.780186737140758,0.612008514426556,2.70259448138211,24.622553105329
"95%",0.778211744087132,0.619595077198177,2.6940775576543,24.7992164083554
"95%",0.781767065543985,0.605973436347117,2.71222780114634,24.3233159311018
"95%",0.776404902560012,0.626579178574925,2.67711243593992,24.9563714531494
"95%",0.781063543698407,0.608656222731564,2.72212885285045,24.5236169490932
"95%",0.782677715923175,0.602509996356634,2.75527287411099,24.0727161172379
"95%",0.779967695996565,0.612847486082075,2.70342949706767,24.6932443941252
"95%",0.784803848086791,0.59446396735152,2.80025675405458,23.8081317805833
"95%",0.777158175667533,0.623662433108163,2.67047795105523,24.9651497005081
"95%",0.779381469739823,0.615095832242412,2.71693178132351,24.5906109356255
"95%",0.776771282675367,0.625159612231138,2.68803137040273,24.8795844826693
"95%",0.780274792942081,0.611671413564044,2.69482746768618,24.7395733565247
"95%",0.782109325636552,0.604670516160789,2.7724796102627,24.1421579283167
"95%",0.780082934385065,0.61240602439108,2.71882021570199,24.5534606841014
"95%",0.77922170183803,0.615709341919564,2.71839362675445,24.6016996632846
"95%",0.774499628196783,0.63398912115757,2.6348934647305,25.3562480864842
"95%",0.781307276972028,0.607726075464655,2.75386471825215,24.3526674071937
"95%",0.999995000043269,9.99999999996615e-06,3.13716194277549,21.2966412291913
"95%",0.999995000039884,1e-05,3.16557771481555,21.1263502579645
"95%",0.777524201486832,0.622247766200938,2.68087649244977,24.921331721668
"95%",0.781004793021809,0.608880541653511,2.71542484860075,24.5062116796531
"95%",0.999995000039884,1e-05,3.12139568363706,21.166505113833
"95%",0.781468980366332,0.60710938625813,2.74776744035236,24.3146531951754
"95%",0.999995000027434,9.99999999968041e-06,3.11699828051846,21.5155561641327
"95%",0.78017194256538,0.612065161563561,2.72309272721089,24.4372053419415
"95%",0.780381380189489,0.611263500217559,2.72282448055063,24.561665303698
"95%",0.780865872906115,0.609411132134891,2.75143178947377,24.3062916652536
"95%",0.780711962684938,0.609999259110095,2.72533721027755,24.4947469331989
"95%",0.779704737059396,0.613855471885048,2.7442666343355,24.3257868744024
"95%",0.780805177774441,0.609643026852106,2.73114038932286,24.4106388967172
"95%",0.77822019004653,0.619562528282472,2.71401986241413,24.7782752319955
"95%",0.780142088205666,0.612179479706737,2.7407181017556,24.4013069163009
"95%",0.773280595035896,0.638754759078135,2.65310242648829,25.2775584155518
