,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
MSE,7.55850827,6.491405953,6.101357657,5.999696971,6.043650874,5.984186492,5.965519793,6.003557469,6.007779814,6.007826159,NA,5.699000111,9.607852279,8.812510732,8.770157388
MSE,7.811451913,6.854799017,6.502819507,6.218849392,6.118636966,6.063369121,6.067557196,6.07810236,6.081969524,6.082000668,NA,5.673104517,10.27794499,8.645582531,9.561343459
MSE,7.32067239,5.992628784,5.587640411,5.400387603,5.203876085,5.113046799,5.106137297,5.115979557,5.113175681,5.113087428,NA,4.832409674,10.29376077,9.348682647,9.740230667
MSE,7.204479953,5.684478078,5.068103065,4.790543319,4.70242308,4.607476252,4.603847943,4.605460698,4.609019037,4.608930327,NA,4.372336872,10.25986157,8.505268275,9.299660273
MSE,7.165183041,6.519856084,6.276464663,6.205542423,6.203624541,6.244557585,6.302456305,6.339359027,6.340720334,6.340677509,NA,5.588599935,10.77106296,10.28115957,9.982361488
MSE,8.396575122,7.722476918,7.321981246,7.09491509,6.838205565,6.63253455,6.564876946,6.554308044,6.559183379,6.559246821,NA,5.723834446,10.45321475,10.13024225,9.670121921
MSE,7.021563494,6.172692321,6.005756817,5.957381237,5.886815212,5.833828688,5.772487393,5.796488605,5.800028895,5.800076118,NA,5.371336189,10.15050058,8.599496742,9.173029676
MSE,8.532456593,7.573218636,7.202985331,6.993168052,6.739910895,6.596815646,6.705119332,6.75373426,6.759364117,6.759517216,NA,6.457129947,11.19263396,7.973174727,9.432189405
MSE,8.403875308,7.578602369,7.225898361,7.030317826,6.84721787,6.626153947,6.631816245,6.644671104,6.646116405,6.646094635,NA,6.48700595,10.71391107,10.56045886,10.98890796
MSE,8.540816286,7.538415042,7.08827991,6.906060727,6.788431431,6.67806448,6.563052174,6.562389203,6.565290505,6.565284289,NA,6.005931257,10.36009669,8.832714135,9.033484816
MSE,8.667033719,7.789020138,7.275620812,6.990606278,6.942296807,6.916930974,6.951227528,6.996091099,6.996562747,6.996593753,NA,6.467309729,10.93364961,10.74386296,10.88107377
MSE,7.807124516,6.763653424,6.341933339,6.180033504,6.101286583,5.979524826,5.906997878,5.889170736,5.889878536,5.889960719,NA,5.726064651,9.962154463,10.18149293,9.456496876
MSE,9.016123659,7.660695541,7.203181819,7.057301833,7.025987967,7.009264538,7.04022678,7.107495825,7.109852133,7.109843707,NA,5.981285974,11.52837821,9.64759771,11.36906121
MSE,7.505701107,6.352175882,5.875293321,5.678609346,5.511298901,5.449598993,5.38611853,5.348128945,5.344327027,5.344322187,NA,5.020873912,9.71589408,8.505160713,8.696710925
MSE,9.035553478,7.943509481,7.527011666,7.462851093,7.537139771,7.507489858,7.51561543,7.495022732,7.493202032,7.493210119,NA,7.04232026,10.76289661,8.447872288,10.57258801
MSE,8.310576456,7.376565429,6.904377371,6.670568116,6.746515095,6.704608577,6.710988856,6.728851291,6.730586858,6.730583743,NA,6.239292006,11.22171287,9.94064754,10.16830293
MSE,7.998223367,6.797558967,6.444273908,6.303913236,6.290622282,6.341717063,6.362173379,6.385337269,6.385381736,6.38534639,NA,5.792851983,11.52388071,8.254043364,10.08828827
