"","Optimal_Sequence","Optimal_RMSE"
"C_cv_Value",32768,0.00617116297064666
"Gamma_cv_Value",0.0625,0.00617116297064666
"Eps_cv_Value",0.015625,0.00617116297064666
"C_cv_Value",32768,0.0120743031475656
"Gamma_cv_Value",0.0625,0.0120743031475656
"Eps_cv_Value",0.00390625,0.0120743031475656
"C_cv_Value",16384,0.00684259176636858
"Gamma_cv_Value",1,0.00684259176636858
"Eps_cv_Value",0.00390625,0.00684259176636858
"C_cv_Value",8192,0.0170436407700298
"Gamma_cv_Value",64,0.0170436407700298
"Eps_cv_Value",0.015625,0.0170436407700298
"C_cv_Value",16384,0.00994049792291985
"Gamma_cv_Value",512,0.00994049792291985
"Eps_cv_Value",0.001953125,0.00994049792291985
"C_cv_Value",8192,0.0142144202781938
"Gamma_cv_Value",256,0.0142144202781938
"Eps_cv_Value",0.001953125,0.0142144202781938
"C_cv_Value",16384,0.00650627318541764
"Gamma_cv_Value",0.5,0.00650627318541764
"Eps_cv_Value",0.125,0.00650627318541764
"C_cv_Value",8192,0.0167118881436262
"Gamma_cv_Value",32,0.0167118881436262
"Eps_cv_Value",0.125,0.0167118881436262
"C_cv_Value",262144,0.0231761963733255
"Gamma_cv_Value",128,0.0231761963733255
"Eps_cv_Value",0.001953125,0.0231761963733255
"C_cv_Value",32768,0.00600031258703152
"Gamma_cv_Value",1,0.00600031258703152
"Eps_cv_Value",0.0078125,0.00600031258703152
