,Optimal_Sequence,Optimal_RMSE
C_cv_Value,524288,4.790138671
Gamma_cv_Value,16,4.790138671
Eps_cv_Value,0.25,4.790138671
C_cv_Value,524288,5.172991901
Gamma_cv_Value,8,5.172991901
Eps_cv_Value,0.125,5.172991901
C_cv_Value,524288,5.917691088
Gamma_cv_Value,16,5.917691088
Eps_cv_Value,0.0625,5.917691088
C_cv_Value,524288,5.742807749
Gamma_cv_Value,32,5.742807749
Eps_cv_Value,0.03125,5.742807749
C_cv_Value,524288,6.807306661
Gamma_cv_Value,32,6.807306661
Eps_cv_Value,0.00390625,6.807306661
C_cv_Value,524288,7.611746107
Gamma_cv_Value,32,7.611746107
Eps_cv_Value,0.0078125,7.611746107
C_cv_Value,524288,3.85668147
Gamma_cv_Value,8,3.85668147
Eps_cv_Value,0.125,3.85668147
C_cv_Value,524288,6.047082161
Gamma_cv_Value,16,6.047082161
Eps_cv_Value,0.125,6.047082161
C_cv_Value,524288,6.577758415
Gamma_cv_Value,16,6.577758415
Eps_cv_Value,0.001953125,6.577758415
C_cv_Value,524288,3.61841857
Gamma_cv_Value,8,3.61841857
Eps_cv_Value,0.25,3.61841857
