,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
TotalEps,9.879578472,6.082442793,4.150125391,2.882632481,1.730112178,0.946549647,0.285589388,0.023257746,0.000476673,0.000294589,NA,0.606344064
TotalEps,9.938700364,5.954428836,4.180704546,2.812215996,1.719496979,0.945957661,0.348078082,0.028162944,2.48E-05,0.000267402,NA,0.602541798
TotalEps,10.16411412,5.982119102,4.125015926,2.830300528,1.777365199,0.903313789,0.315402076,0.015203348,9.06E-05,0.00029108,NA,0.606328034
TotalEps,10.17398604,6.133887358,4.247408882,2.911888642,1.731218977,0.944046553,0.340732801,0.017307521,0.000511312,0.00011202,NA,0.61250577
TotalEps,9.891142185,5.965419964,4.012090002,2.763809998,1.637167238,0.891771922,0.355776395,0.026781881,0.00014552,0.00010095,NA,0.616351582
TotalEps,9.929014934,6.044174901,4.124751847,2.91136334,1.806962056,0.93927993,0.304547083,0.034565243,0.000353778,0.000128672,NA,0.604931368
TotalEps,9.959244763,6.07745834,4.066265818,2.845328844,1.737334405,0.805025853,0.2699394,0.015892789,0.000187271,0.000356132,NA,0.617577943
TotalEps,9.738924274,6.040541223,4.131344869,2.831191657,1.741180994,0.878481916,0.331863856,0.018593654,0.000238783,0.000174976,NA,0.624036352
TotalEps,9.835763887,5.91700173,3.971403297,2.812718789,1.694495022,0.898348027,0.320086852,0.020393234,0.000679915,0.000330944,NA,0.608662767
TotalEps,9.751851288,5.976160478,4.04799313,2.766043841,1.733428848,0.89212606,0.32482795,0.020085603,0.000405192,0.000174595,NA,0.618849548
TotalEps,10.02972164,5.988853451,4.134701724,2.873790771,1.783960838,0.944505838,0.318187828,0.008133924,0.000265093,0.000328926,NA,0.623514475
TotalEps,9.80987143,5.984651034,4.052248702,2.687598241,1.595094739,0.839688134,0.277969957,0.022855364,0.000189577,0.000170314,NA,0.627204601
TotalEps,9.726156418,5.964015236,4.059464622,2.717247028,1.711992686,0.83619678,0.305995093,0.025730097,0.000177616,0.000118008,NA,0.611471177
TotalEps,9.979062696,6.083373143,4.187220887,2.839345511,1.674626619,0.857659396,0.360066465,0.022252097,0.000632204,0.000275398,NA,0.608694075
